IDProgram,NamaProgram,DeskripsiProgram,WaktuMulai,WaktuBerakhir
1,Pelatihan Keterampilan Dasar,Program ini membantu narapidana mempelajari keterampilan seperti pertukangan dan lain-lain,2005-01-15,2005-02-08
2,Kelas Kebugaran,Mengadakan Latihan fisik rutin untuk meningkatkan kesehatan fisik dan mengurangi stress,2005-10-16,2005-10-30
3,Workshop Seni Lukis,Dibuka untuk semua narapidana yang ingin mengembangkan kreativitas melalui lukisan,2018-04-24,2018-06-01
4,Terapi Kelompok,Terapi untuk mengatasi masalah emosional seperti amarah atau depresi dan meningkatkan komunikasi interpersonal,2010-11-28,2011-01-13
5,Terapi Relapse Prevention,Membantu narapidana yang pernah mengalami ketergantungan untuk menghindari relapse,2020-08-10,2020-09-24
6,Kelas Literasi Dasar,Meningkatkan kemampuan calistung bagi narapidana,2016-06-03,2016-06-26
7,Terapi Relapse Prevention,Membantu narapidana yang pernah mengalami ketergantungan untuk menghindari relapse,2005-06-09,2005-07-14
8,Kelas Musik,Melatih kemampuan musik untuk meningkatkan mood dan kesehatan mental,2016-08-06,2016-10-06
9,Kelas Kebugaran,Mengadakan Latihan fisik rutin untuk meningkatkan kesehatan fisik dan mengurangi stress,2019-06-14,2019-07-04
10,Terapi Kelompok,Terapi untuk mengatasi masalah emosional seperti amarah atau depresi dan meningkatkan komunikasi interpersonal,2017-02-07,2017-04-01
11,Kelas Musik,Melatih kemampuan musik untuk meningkatkan mood dan kesehatan mental,2020-08-19,2020-09-18
12,Terapi Relapse Prevention,Membantu narapidana yang pernah mengalami ketergantungan untuk menghindari relapse,2017-08-20,2017-09-18
13,Workshop Seni Lukis,Dibuka untuk semua narapidana yang ingin mengembangkan kreativitas melalui lukisan,2023-11-13,2023-12-09
14,Kelas Musik,Melatih kemampuan musik untuk meningkatkan mood dan kesehatan mental,2014-03-14,2014-04-16
15,Pelatihan Keterampilan Dasar,Program ini membantu narapidana mempelajari keterampilan seperti pertukangan dan lain-lain,2013-07-15,2013-08-18
16,Pembacaan dan diskusi Buku,Melalui buku narapidana didorong untuk memperkaya pengetahuan dan meningkatkan pemahaman literasi,2019-02-14,2019-02-28
17,Pelatihan Keterampilan Dasar,Program ini membantu narapidana mempelajari keterampilan seperti pertukangan dan lain-lain,2009-11-15,2009-11-28
18,Turnamen Olahraga,Meningkatkan kompetisi sehat dan sportivitas narapidana melalui turnamen olahraga,2022-10-12,2022-11-02
19,Terapi Kelompok,Terapi untuk mengatasi masalah emosional seperti amarah atau depresi dan meningkatkan komunikasi interpersonal,2024-03-31,2024-05-29
20,Workshop Seni Lukis,Dibuka untuk semua narapidana yang ingin mengembangkan kreativitas melalui lukisan,2008-03-15,2008-04-05
21,Pelatihan Keterampilan Dasar,Program ini membantu narapidana mempelajari keterampilan seperti pertukangan dan lain-lain,2024-04-12,2024-06-10
22,Turnamen Olahraga,Meningkatkan kompetisi sehat dan sportivitas narapidana melalui turnamen olahraga,2017-03-25,2017-05-10
23,Kelas Musik,Melatih kemampuan musik untuk meningkatkan mood dan kesehatan mental,2010-07-20,2010-08-04
24,Turnamen Olahraga,Meningkatkan kompetisi sehat dan sportivitas narapidana melalui turnamen olahraga,2019-10-16,2019-12-08
25,Kelas Musik,Melatih kemampuan musik untuk meningkatkan mood dan kesehatan mental,2013-06-21,2013-07-06
26,Pembacaan dan diskusi Buku,Melalui buku narapidana didorong untuk memperkaya pengetahuan dan meningkatkan pemahaman literasi,2015-11-14,2015-12-21
27,Turnamen Olahraga,Meningkatkan kompetisi sehat dan sportivitas narapidana melalui turnamen olahraga,2016-12-02,2017-01-11
28,Kelas Kebugaran,Mengadakan Latihan fisik rutin untuk meningkatkan kesehatan fisik dan mengurangi stress,2005-04-23,2005-06-10
29,Kelas Literasi Dasar,Meningkatkan kemampuan calistung bagi narapidana,2019-07-15,2019-08-29
30,Kelas Kebugaran,Mengadakan Latihan fisik rutin untuk meningkatkan kesehatan fisik dan mengurangi stress,2014-09-12,2014-11-14
